term_key,search_term,ads_campaigns,ads_ad_groups,impressions_ads,clicks_ads,cost_ads,conversions_ads,search_budget_lost_impression_share,ctr_ads,avg_cpc_ads,cpa_ads,query_sc,clicks_sc,impressions_sc,ctr_sc,position_sc,source_match,intent,is_branded,is_priority_product,is_competitor_or_third_party,is_coupon_or_freebie,expected_ctr_sc,opportunity_score,recommended_action,priority,reason,ads_breakdown_summary,revenue_upside_50pct_scale,estimated_revenue_potential_new_kw
creme facial bom,creme facial bom,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos de skincare | shopping | best sellers | todos,93.0,2.0,1.11,0.0,0.1216678938796651,0.021505376344086023,0.555,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$1.11, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
pele de porcelana antes e depois,pele de porcelana antes e depois,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | pele de porcelana | shopping | best sellers | todos,219.0,2.0,1.1,0.0,0.1216678938796651,0.0091324200913242,0.55,,pele de porcelana antes e depois,0.0,11.0,0.0,5.18,ads+search_console,COMPRADOR,False,True,False,False,0.02,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$1.10, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Soluções | nbd / search | pele de porcelana: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
body splash pera,body splash pera,WG_Shopping | Portfólio Geral | nbd,todos,190.0,4.0,1.1,0.0,0.0019842830030239,0.021052631578947368,0.275,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$1.10, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
pele de porcelana cicatricure,pele de porcelana cicatricure,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | pele de porcelana | shopping | best sellers | todos,70.0,2.0,1.08,0.0,0.1216678938796651,0.02857142857142857,0.54,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$1.08, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Soluções | nbd / search | pele de porcelana: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
body splash iluminador,body splash iluminador,WG_Shopping | Portfólio Geral | nbd,todos,4.0,1.0,1.07,0.0,0.0019842830030239,0.25,1.07,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$1.07, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
creme facial para diminuir linhas de expressão,creme facial para diminuir linhas de expressão,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd,search | produtos de skincare | shopping | best sellers,4.0,1.0,1.07,0.0,0.1216678938796651,0.25,1.07,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Search | Soluções | nbd / search | produtos de skincare: custo R$1.07, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
keira pele de porcelana,keira pele de porcelana,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | pele de porcelana | shopping | best sellers | todos,12.0,2.0,1.05,0.0,0.1216678938796651,0.16666666666666666,0.525,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.67, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.38, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Soluções | nbd / search | pele de porcelana: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar",,
hidratante antioleosidade,hidratante antioleosidade,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,47.0,1.0,1.03,0.0,0.1216678938796651,0.02127659574468085,1.03,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$1.03, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
hidratante facial antioleosidade,hidratante facial antioleosidade,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,75.0,1.0,1.03,0.0,0.1216678938796651,0.013333333333333334,1.03,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$1.03, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
creme antissinais dia e noite,creme antissinais dia e noite,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,16.0,1.0,1.01,0.0,0.1216678938796651,0.0625,1.01,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$1.01, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
skincare coreano shopee,skincare coreano shopee,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,15.0,1.0,1.01,0.0,0.1216678938796651,0.06666666666666667,1.01,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$1.01, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
creme facial para maquiagem,creme facial para maquiagem,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,13.0,2.0,1.0,0.0,0.1216678938796651,0.15384615384615385,0.5,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$1.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
creme facial rosa mosqueta,creme facial rosa mosqueta,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | óleo de rosa mosqueta | shopping | best sellers | todos,330.0,2.0,0.99,0.0,0.1216678938796651,0.006060606060606061,0.495,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.99, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | óleo de rosa mosqueta: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
creme neutrogena rosto antissinais,creme neutrogena rosto antissinais,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd,search | produtos de skincare | shopping | best sellers,11.0,1.0,0.98,0.0,0.1216678938796651,0.09090909090909091,0.98,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.98, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar",,
sérum antissinais,sérum antissinais,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,40.0,1.0,0.97,0.0,0.1216678938796651,0.025,0.97,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.97, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
melhor creme antissinais 35 anos,melhor creme antissinais 35 anos,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos de skincare | shopping | best sellers | todos,64.0,1.0,0.96,0.0,0.1216678938796651,0.015625,0.96,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.96, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
body splash refrescante,body splash refrescante,WG_Shopping | Portfólio Geral | nbd,todos,53.0,2.0,0.95,0.0,0.0019842830030239,0.03773584905660377,0.475,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.95, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
body splash bourbon,body splash bourbon,WG_Shopping | Portfólio Geral | nbd,todos,16.0,1.0,0.94,0.0,0.0019842830030239,0.0625,0.94,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.94, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
creme coreanos para o rosto,creme coreanos para o rosto,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | creme coreano para o rosto | search | produtos coreanos para pele | shopping | best sellers | todos,99.0,1.0,0.93,0.0,0.1216678938796651,0.010101010101010102,0.93,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.93, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | creme coreano para o rosto: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Search | Soluções | nbd / search | produtos coreanos para pele: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
body splash da virgínia,body splash da virgínia,WG_Shopping | Portfólio Geral | nbd,todos,50.0,2.0,0.92,0.0,0.0019842830030239,0.04,0.46,,body splash da virgínia,0.0,49.0,0.0,4.2,ads+search_console,COMPRADOR,False,True,False,False,0.05,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.92, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
melhor creme antissinais para o rosto,melhor creme antissinais para o rosto,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,34.0,1.0,0.92,0.0,0.1216678938796651,0.029411764705882353,0.92,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.92, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
creme facial rosa oriental,creme facial rosa oriental,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,4.0,1.0,0.9,0.0,0.1216678938796651,0.25,0.9,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.90, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
neutrogena hidratante facial antissinais face care intensive fps 22 100g,neutrogena hidratante facial antissinais face care intensive fps 22 100g,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,5.0,1.0,0.9,0.0,0.1216678938796651,0.2,0.9,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.90, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
creme coreano para rosto,creme coreano para rosto,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | creme coreano para o rosto | search | produtos coreanos para pele | shopping | best sellers | todos,136.0,3.0,0.89,0.0,0.1216678938796651,0.022058823529411766,0.2966666666666667,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.89, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | creme coreano para o rosto: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Search | Soluções | nbd / search | produtos coreanos para pele: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
youly body splash,youly body splash,WG_Shopping | Portfólio Geral | nbd,todos,3.0,1.0,0.89,0.0,0.0019842830030239,0.3333333333333333,0.89,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.89, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
body splash de vanilla,body splash de vanilla,WG_Shopping | Portfólio Geral | nbd,todos,212.0,1.0,0.88,0.0,0.0019842830030239,0.0047169811320754715,0.88,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.88, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
creme facial bom e barato,creme facial bom e barato,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos de skincare | shopping | best sellers | todos,134.0,1.0,0.88,0.0,0.1216678938796651,0.007462686567164179,0.88,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.88, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | produtos de skincare: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
creme hidratante para o rosto antissinais,creme hidratante para o rosto antissinais,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,22.0,1.0,0.87,0.0,0.1216678938796651,0.045454545454545456,0.87,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.87, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
produtos para ter a pele de porcelana,produtos para ter a pele de porcelana,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | pele de porcelana | shopping | best sellers | todos,31.0,3.0,0.87,0.0,0.1216678938796651,0.0967741935483871,0.29,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.87, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | pele de porcelana: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
creme facial com colageno,creme facial com colageno,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,128.0,1.0,0.86,0.0,0.1216678938796651,0.0078125,0.86,,creme facial com colageno,0.0,71.0,0.0,3.8500000000000005,ads+search_console,COMPRADOR,False,True,False,False,0.05,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.86, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
creme coreano para manchas,creme coreano para manchas,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | produtos coreanos para pele | shopping | best sellers | todos,56.0,1.0,0.857638,0.0,0.1216678938796651,0.017857142857142856,0.857638,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Search | Soluções | nbd / search | produtos coreanos para pele: custo R$0.86, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
kit skincare antissinais,kit skincare antissinais,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,21.0,1.0,0.85,0.0,0.1216678938796651,0.047619047619047616,0.85,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.85, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
qual melhor creme facial antissinais,qual melhor creme facial antissinais,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,47.0,1.0,0.85,0.0,0.1216678938796651,0.02127659574468085,0.85,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.85, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
melhor creme facial anti idade,melhor creme facial anti idade,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,27.0,1.0,0.83,0.0,0.1216678938796651,0.037037037037037035,0.83,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.83, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
hidratante coreano para o rosto,hidratante coreano para o rosto,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | creme coreano para o rosto | search | produtos coreanos para pele | search | skin care coreano | shopping | best sellers,186.0,2.0,0.82,0.0,0.1216678938796651,0.010752688172043012,0.41,,hidratante coreano para o rosto,0.0,15.0,0.0,5.33,ads+search_console,COMPRADOR,False,True,False,False,0.02,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.82, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | creme coreano para o rosto: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Search | Soluções | nbd / search | produtos coreanos para pele: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Search | Soluções | nbd / search | skin care coreano: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
neutrogena antissinais noturno,neutrogena antissinais noturno,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,5.0,1.0,0.82,0.0,0.1216678938796651,0.2,0.82,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.82, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
produtos antissinais,produtos antissinais,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,36.0,1.0,0.82,0.0,0.1216678938796651,0.027777777777777776,0.82,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.82, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
creme coreano de arroz,creme coreano de arroz,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | creme coreano para o rosto | search | produtos coreanos para pele | shopping | best sellers | todos,56.0,3.0,0.8,0.0,0.1216678938796651,0.05357142857142857,0.26666666666666666,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.80, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Search | Soluções | nbd / search | creme coreano para o rosto: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Search | Soluções | nbd / search | produtos coreanos para pele: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
skin care antioleosidade,skin care antioleosidade,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,16.0,1.0,0.8,0.0,0.1216678938796651,0.0625,0.8,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.80, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
creme facial anti inflamatório,creme facial anti inflamatório,WG_Shopping | Best Sellers | nbd,shopping | best sellers,4.0,1.0,0.77,0.0,0.1216678938796651,0.25,0.77,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.77, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
body splash que fixam,body splash que fixam,WG_Shopping | Portfólio Geral | nbd,todos,174.0,3.0,0.76,0.0,0.0019842830030239,0.017241379310344827,0.25333333333333335,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.76, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
comprar skincare coreano,comprar skincare coreano,WG_Search | Soluções | nbd | WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,search | skin care coreano | shopping | best sellers | todos,15.0,1.0,0.76,0.0,0.1216678938796651,0.06666666666666667,0.76,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.76, conv 0.0, sem CPA, perda orçamento 0%, monitorar || WG_Search | Soluções | nbd / search | skin care coreano: custo R$0.00, conv 0.0, sem CPA, perda orçamento 8%, monitorar || WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.00, conv 0.0, sem CPA, perda orçamento 12%, monitorar",,
creme antissinais melhor custo benefício,creme antissinais melhor custo benefício,WG_Shopping | Best Sellers | nbd | WG_Shopping | Portfólio Geral | nbd,shopping | best sellers | todos,23.0,1.0,0.74,0.0,0.1216678938796651,0.043478260869565216,0.74,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Best Sellers | nbd / shopping | best sellers: custo R$0.74, conv 0.0, sem CPA, perda orçamento 12%, monitorar || WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.00, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
body splash feminino,body splash feminino,WG_Shopping | Portfólio Geral | nbd,todos,250.0,1.0,0.73,0.0,0.0019842830030239,0.004,0.73,,,,,,,ads_only,COMPRADOR,False,True,False,False,0.01,2,monitorar,baixa,produto/categoria prioritária,"WG_Shopping | Portfólio Geral | nbd / todos: custo R$0.73, conv 0.0, sem CPA, perda orçamento 0%, monitorar",,
